,competition,Matchday,Date,Venue,Opponent,Result,Pos.,Minute,At score,Type of goal,Goal assist
0,Champions League,Group Stage,11/2/05,H,Panathinaikos,5:0,RW,34',3:0,Left-footed shot, 
1,LaLiga,13,11/27/05,H,Racing,4:1,RW,51',2:0,Left-footed shot,Samuel Eto'o
2,LaLiga,19,1/15/06,H,Athletic,2:1,RW,50',2:1,Left-footed shot,Mark van Bommel
3,LaLiga,20,1/22/06,H,Alavés,2:0,CF,82',2:0,Left-footed shot,Ronaldinho
4,LaLiga,21,1/29/06,A,RCD Mallorca,0:3,CF,75',0:2,Right-footed shot,Sylvinho
5,LaLiga,21,1/29/06,A,RCD Mallorca,0:3,CF,83',0:3,Left-footed shot,Ronaldinho
6,Copa del Rey,Quarter-Finals,2/1/06,H,Real Zaragoza,2:1,CF,42',1:0,Header,Ludovic Giuly
7,LaLiga,24,2/18/06,H,Real Betis,5:1,RW,84',5:1,Left-footed shot, 
