,competition,Matchday,Date,Venue,Opponent,Result,Pos.,Minute,At score,Type of goal,Goal assist
0,Supercopa,final,8/14/11,A,Real Madrid,2:2,CF,45',1:2,Left-footed shot,Thiago
1,Supercopa,final,8/17/11,H,Real Madrid,3:2,CF,44',2:1,Right-footed shot,Gerard Piqué
2,Supercopa,final,8/17/11,H,Real Madrid,3:2,CF,88',3:2,Left-footed shot,Adriano
3,UEFA Super Cup,Final,8/26/11,H,FC Porto,2:0,CF,39',1:0,Left-footed shot, 
4,LaLiga,2,8/29/11,H,Villarreal,5:0,CF,51',4:0,Right-footed shot,Andrés Iniesta
5,LaLiga,2,8/29/11,H,Villarreal,5:0,CF,74',5:0,Left-footed shot,Thiago
6,LaLiga,4,9/17/11,H,CA Osasuna,8:0,CF,5',1:0,Left-footed shot,Dani Alves
7,LaLiga,4,9/17/11,H,CA Osasuna,8:0,CF,41',5:0,Left-footed shot,Cesc Fàbregas
8,LaLiga,4,9/17/11,H,CA Osasuna,8:0,CF,79',8:0,Left-footed shot,Cesc Fàbregas
9,LaLiga,6,9/24/11,H,Atlético Madrid,5:0,CF,26',3:0,Left-footed shot,Pedro
10,LaLiga,6,9/24/11,H,Atlético Madrid,5:0,CF,78',4:0,Left-footed shot,Dani Alves
11,LaLiga,6,9/24/11,H,Atlético Madrid,5:0,CF,90'+1,5:0,Left-footed shot,David Villa
12,Champions League,Group Stage,9/28/11,A,BATE Borisov,0:5,CF,38',0:3,Header, 
13,Champions League,Group Stage,9/28/11,A,BATE Borisov,0:5,CF,56',0:4,Left-footed shot,Dani Alves
14,LaLiga,8,10/15/11,H,Racing,3:0,CF,11',1:0,Right-footed shot,Andrés Iniesta
15,LaLiga,8,10/15/11,H,Racing,3:0,CF,69',3:0,Right-footed shot, 
16,LaLiga,11,10/29/11,H,RCD Mallorca,5:0,CF,13',1:0,Penalty, 
17,LaLiga,11,10/29/11,H,RCD Mallorca,5:0,CF,21',2:0,Right-footed shot,Adriano
18,LaLiga,11,10/29/11,H,RCD Mallorca,5:0,CF,30',3:0,Left-footed shot,Dani Alves
19,Champions League,Group Stage,11/1/11,A,Viktoria Plzen,0:4,CF,24',0:1,Penalty, 
20,Champions League,Group Stage,11/1/11,A,Viktoria Plzen,0:4,CF,45'+2,0:2,Left-footed shot,Adriano
21,Champions League,Group Stage,11/1/11,A,Viktoria Plzen,0:4,CF,90'+2,0:4,Left-footed shot,Gerard Piqué
22,LaLiga,12,11/6/11,A,Athletic,2:2,CF,90',2:2,Left-footed shot, 
23,LaLiga,13,11/19/11,H,Real Zaragoza,4:0,CF,43',2:0,Right-footed shot,Cesc Fàbregas
24,Champions League,Group Stage,11/23/11,A,AC Milan,2:3,RW,31',1:2,Penalty, 
25,LaLiga,17,11/29/11,H,Rayo Vallecano,4:0,CF,49',4:0,Left-footed shot,Dani Alves
26,LaLiga,15,12/3/11,H,Levante,5:0,CF,55',4:0,Left-footed shot,Dani Alves
27,Club World Cup,Final,12/18/11,A,Santos FC,0:4,RW,17',0:1,Left-footed shot,Xavi
28,Club World Cup,Final,12/18/11,A,Santos FC,0:4,RW,82',0:4,Left-footed shot,Dani Alves
29,Copa del Rey,last 16,1/4/12,H,CA Osasuna,4:0,CF,71',3:0,Header,Cesc Fàbregas
30,Copa del Rey,last 16,1/4/12,H,CA Osasuna,4:0,CF,90',4:0,Left-footed shot,Xavi
31,LaLiga,19,1/15/12,H,Real Betis,4:2,CF,12',2:0,Right-footed shot,Alexis Sánchez
32,LaLiga,19,1/15/12,H,Real Betis,4:2,CF,86',4:2,Penalty, 
33,LaLiga,1,1/22/12,A,Málaga CF,1:4,CF,32',0:1,Header,Adriano
34,LaLiga,1,1/22/12,A,Málaga CF,1:4,CF,51',0:3,Left-footed shot,Thiago
35,LaLiga,1,1/22/12,A,Málaga CF,1:4,CF,77',0:4,Left-footed shot,Pedro
36,LaLiga,22,2/4/12,H,Real Sociedad,2:1,CF,72',2:0,Left-footed shot,Dani Alves
37,Champions League,last 16,2/14/12,A,Bay. Leverkusen,1:3,CF,88',1:3,Left-footed shot,Dani Alves
38,LaLiga,24,2/19/12,H,Valencia,5:1,CF,21',1:1,Left-footed shot, 
39,LaLiga,24,2/19/12,H,Valencia,5:1,CF,27',2:1,Tap-in, 
40,LaLiga,24,2/19/12,H,Valencia,5:1,CF,75',3:1,Left-footed shot, 
41,LaLiga,24,2/19/12,H,Valencia,5:1,CF,84',4:1,Left-footed shot,Sergio Busquets
42,LaLiga,25,2/26/12,A,Atlético Madrid,1:2,CF,79',1:2,Direct free kick, 
43,Champions League,last 16,3/7/12,H,Bay. Leverkusen,7:1,CF,25',1:0,Left-footed shot,Xavi
