,competition,Matchday,Date,Venue,Opponent,Result,Pos.,Minute,At score,Type of goal,Goal assist
44,Champions League,last 16,3/7/12,H,Bay. Leverkusen,7:1,CF,42',2:0,Left-footed shot,Andrés Iniesta
45,Champions League,last 16,3/7/12,H,Bay. Leverkusen,7:1,CF,50',3:0,Right-footed shot,Cesc Fàbregas
46,Champions League,last 16,3/7/12,H,Bay. Leverkusen,7:1,CF,58',5:0,Left-footed shot, 
47,Champions League,last 16,3/7/12,H,Bay. Leverkusen,7:1,CF,85',7:0,Left-footed shot,Seydou Keita
48,LaLiga,27,3/11/12,A,Racing,0:2,CF,28',0:1,Left-footed shot,Cesc Fàbregas
49,LaLiga,27,3/11/12,A,Racing,0:2,CF,55',0:2,Penalty, 
50,LaLiga,28,3/17/12,A,Sevilla FC,0:2,CF,25',0:2,Left-footed shot,Andrés Iniesta
51,LaLiga,29,3/20/12,H,Granada CF,5:3,CF,16',2:0,Left-footed shot,Isaac Cuenca
52,LaLiga,29,3/20/12,H,Granada CF,5:3,CF,66',3:2,Left-footed shot,Dani Alves
53,LaLiga,29,3/20/12,H,Granada CF,5:3,CF,85',5:2,Left-footed shot,Dani Alves
54,LaLiga,30,3/24/12,A,RCD Mallorca,0:2,CF,25',0:1,Direct free kick, 
55,LaLiga,31,3/31/12,H,Athletic,2:0,CF,57',2:0,Penalty, 
56,Champions League,Quarter-Finals,4/3/12,H,AC Milan,3:1,RW,11',1:0,Penalty, 
57,Champions League,Quarter-Finals,4/3/12,H,AC Milan,3:1,RW,42',2:1,Penalty, 
58,LaLiga,32,4/7/12,A,Real Zaragoza,1:4,CF,39',1:2,Left-footed shot,Alexis Sánchez
59,LaLiga,32,4/7/12,A,Real Zaragoza,1:4,CF,86',1:3,Penalty, 
60,LaLiga,33,4/10/12,H,Getafe,4:0,CF,44',2:0,Left-footed shot,Andrés Iniesta
61,LaLiga,34,4/14/12,A,Levante,1:2,CF,64',1:1,Left-footed shot,Alexis Sánchez
62,LaLiga,34,4/14/12,A,Levante,1:2,CF,73',1:2,Penalty, 
63,LaLiga,36,4/29/12,A,Rayo Vallecano,0:7,CF,16',0:1,Left-footed shot,Pedro
64,LaLiga,36,4/29/12,A,Rayo Vallecano,0:7,CF,88',0:7,Left-footed shot,Pedro
65,LaLiga,20,5/2/12,H,Málaga CF,4:1,CF,34',2:1,Penalty, 
66,LaLiga,20,5/2/12,H,Málaga CF,4:1,CF,60',3:1,Penalty, 
67,LaLiga,20,5/2/12,H,Málaga CF,4:1,CF,63',4:1,Left-footed shot,Andrés Iniesta
68,LaLiga,37,5/5/12,H,Espanyol,4:0,CF,11',1:0,Direct free kick, 
69,LaLiga,37,5/5/12,H,Espanyol,4:0,CF,63',2:0,Penalty, 
70,LaLiga,37,5/5/12,H,Espanyol,4:0,CF,73',3:0,Left-footed shot,Adriano
71,LaLiga,37,5/5/12,H,Espanyol,4:0,CF,78',4:0,Penalty, 
72,Copa del Rey,Final,5/25/12,H,Athletic,3:0,CF,20',2:0,Right-footed shot,Andrés Iniesta
