,competition,Matchday,Date,Venue,Opponent,Result,Pos.,Minute,At score,Type of goal,Goal assist
0,LaLiga,1,8/28/06,A,Celta de Vigo,2:3,LW,59',1:2,Left-footed shot,Andrés Iniesta
1,LaLiga,2,9/9/06,H,CA Osasuna,3:0,RW,36',3:0,Left-footed shot,Samuel Eto'o
2,Champions League,Group Stage,9/27/06,A,Werder Bremen,1:1,RW,89',1:1,Left-footed shot,Deco
3,LaLiga,6,10/15/06,H,Sevilla FC,3:1,RW,80',3:1,Right-footed shot,Xavi
4,LaLiga,26,3/10/07,H,Real Madrid,3:3,RW,11',1:1,Left-footed shot,Samuel Eto'o
5,LaLiga,26,3/10/07,H,Real Madrid,3:3,RW,28',2:2,Left-footed shot, 
6,LaLiga,26,3/10/07,H,Real Madrid,3:3,RW,90'+1,3:3,Left-footed shot,Ronaldinho
7,LaLiga,27,3/17/07,A,Recr. Huelva,0:4,RW,86',0:4,Left-footed shot, 
8,LaLiga,28,3/31/07,H,Dep. La Coruña,2:1,RW,45',1:0,Left-footed shot,Ronaldinho
9,Copa del Rey,Semi-Finals,4/18/07,H,Getafe,5:2,RW,29',2:0,Solo run,Xavi
10,Copa del Rey,Semi-Finals,4/18/07,H,Getafe,5:2,RW,45',3:0,Left-footed shot,Deco
11,LaLiga,35,5/20/07,A,Atlético Madrid,0:6,RW,39',0:1,Left-footed shot,Samuel Eto'o
12,LaLiga,35,5/20/07,A,Atlético Madrid,0:6,RW,80',0:5,Left-footed shot,Giovanni van Bronckhorst
13,LaLiga,37,6/9/07,H,Espanyol,2:2,RW,43',1:1,Gianluca Zambrotta, 
14,LaLiga,37,6/9/07,H,Espanyol,2:2,RW,57',2:1,Right-footed shot,Deco
15,LaLiga,38,6/17/07,A,Gimnàstic,1:5,RW,34',0:2,Left-footed shot,Deco
16,LaLiga,38,6/17/07,A,Gimnàstic,1:5,RW,51',0:4,Left-footed shot,Deco
