,competition,Matchday,Date,Venue,Opponent,Result,Pos.,Minute,At score,Type of goal,Goal assist
0,LaLiga,8,10/6/19,H,Sevilla FC,4:0,RW,78',4:0,Direct free kick, 
1,LaLiga,9,10/19/19,A,SD Eibar,0:3,RW,58',0:2,Left-footed shot,Antoine Griezmann
2,Champions League,Group Stage,10/23/19,A,Slavia Prague,1:2,RW,3',0:1,Left-footed shot,Arthur
3,LaLiga,11,10/29/19,H,Real Valladolid,5:1,RW,34',3:1,Direct free kick, 
4,LaLiga,11,10/29/19,H,Real Valladolid,5:1,RW,75',4:1,Left-footed shot,Ivan Rakitic
5,LaLiga,12,11/2/19,A,Levante,3:1,RW,38',0:1,Penalty, 
6,LaLiga,13,11/9/19,H,Celta de Vigo,4:1,RW,23',1:0,Penalty, 
7,LaLiga,13,11/9/19,H,Celta de Vigo,4:1,RW,45'+1,2:1,Direct free kick, 
8,LaLiga,13,11/9/19,H,Celta de Vigo,4:1,RW,48',3:1,Direct free kick, 
9,Champions League,Group Stage,11/27/19,H,Bor. Dortmund,3:1,RW,33',2:0,Left-footed shot,Luis Suárez
10,LaLiga,15,12/1/19,A,Atlético Madrid,0:1,RW,86',0:1,Left-footed shot,Luis Suárez
11,LaLiga,16,12/7/19,H,RCD Mallorca,5:2,RW,17',2:0,Left-footed shot,Antoine Griezmann
12,LaLiga,16,12/7/19,H,RCD Mallorca,5:2,RW,41',3:1,Left-footed shot,Ivan Rakitic
13,LaLiga,16,12/7/19,H,RCD Mallorca,5:2,RW,83',5:2,Left-footed shot,Luis Suárez
14,LaLiga,18,12/21/19,H,Alavés,4:1,RW,69',3:1,Left-footed shot,Luis Suárez
15,Supercopa,Semi-Finals,1/9/20,H,Atlético Madrid,2:3,RW,51',1:1,Right-footed shot,Luis Suárez
16,LaLiga,20,1/19/20,H,Granada CF,1:0,CF,76',1:0,Right-footed shot,Arturo Vidal
17,Copa del Rey,Round of 16,1/30/20,H,CD Leganés,5:0,RW,59',3:0,Left-footed shot,Frenkie de Jong
18,Copa del Rey,Round of 16,1/30/20,H,CD Leganés,5:0,RW,89',5:0,Left-footed shot,Ivan Rakitic
19,LaLiga,25,2/22/20,H,SD Eibar,5:0,SS,14',1:0,Left-footed shot,Ivan Rakitic
20,LaLiga,25,2/22/20,H,SD Eibar,5:0,SS,37',2:0,Left-footed shot,Arturo Vidal
21,LaLiga,25,2/22/20,H,SD Eibar,5:0,SS,40',3:0,Left-footed shot, 
22,LaLiga,25,2/22/20,H,SD Eibar,5:0,SS,87',4:0,Left-footed shot, 
23,LaLiga,27,3/7/20,H,Real Sociedad,1:0,CF,81',1:0,Penalty, 
24,LaLiga,28,6/13/20,A,RCD Mallorca,0:4,RW,90'+3,0:4,Right-footed shot,Luis Suárez
25,LaLiga,29,6/16/20,H,CD Leganés,2:0,RW,69',2:0,Penalty, 
26,LaLiga,33,6/30/20,H,Atlético Madrid,2:2,SS,50',2:1,Penalty, 
27,LaLiga,37,7/16/20,H,CA Osasuna,1:2,RW,62',1:1,Direct free kick, 
28,LaLiga,38,7/19/20,A,Alavés,0:5,RW,34',0:2,Left-footed shot,Riqui Puig
29,LaLiga,38,7/19/20,A,Alavés,0:5,RW,75',0:5,Left-footed shot,Jordi Alba
30,Champions League,last 16,8/8/20,H,SSC Napoli,3:1,SS,23',2:0,Left-footed shot, 
