,competition,Matchday,Date,Venue,Opponent,Result,Pos.,Minute,At score,Type of goal,Goal assist
0,LaLiga,1,8/19/12,H,Real Sociedad,5:1,CF,10',2:1,Left-footed shot,Pedro
1,LaLiga,1,8/19/12,H,Real Sociedad,5:1,CF,15',3:1,Left-footed shot,Cristian Tello
2,Supercopa,final,8/23/12,H,Real Madrid,3:2,CF,60',2:1,Penalty, 
3,LaLiga,2,8/26/12,A,CA Osasuna,1:2,CF,74',1:1,Left-footed shot,Alexis Sánchez
4,LaLiga,2,8/26/12,A,CA Osasuna,1:2,CF,79',1:2,Left-footed shot,Jordi Alba
5,Supercopa,final,8/29/12,A,Real Madrid,2:1,CF,45',2:1,Direct free kick, 
6,LaLiga,4,9/15/12,A,Getafe,1:4,CF,74',0:2,Penalty, 
7,LaLiga,4,9/15/12,A,Getafe,1:4,CF,78',0:3,Left-footed shot,Pedro
8,Champions League,Group Stage,9/19/12,H,Spartak Moscow,3:2,CF,71',2:2,Left-footed shot,Cristian Tello
9,Champions League,Group Stage,9/19/12,H,Spartak Moscow,3:2,CF,80',3:2,Header,Alexis Sánchez
10,LaLiga,7,10/7/12,H,Real Madrid,2:2,CF,31',1:1,Left-footed shot, 
11,LaLiga,7,10/7/12,H,Real Madrid,2:2,CF,60',2:1,Direct free kick, 
12,LaLiga,8,10/20/12,A,Dep. La Coruña,4:5,CF,17',0:3,Left-footed shot,Cesc Fàbregas
13,LaLiga,8,10/20/12,A,Dep. La Coruña,4:5,CF,43',2:4,Left-footed shot,Cesc Fàbregas
14,LaLiga,8,10/20/12,A,Dep. La Coruña,4:5,CF,76',3:5,Left-footed shot,Xavi
15,LaLiga,9,10/27/12,A,Rayo Vallecano,0:5,CF,48',0:2,Left-footed shot,Martín Montoya
16,LaLiga,9,10/27/12,A,Rayo Vallecano,0:5,CF,89',0:5,Right-footed shot,Cesc Fàbregas
17,Champions League,Group Stage,11/7/12,A,Celtic,2:1,CF,90'+1,2:1,Tap-in, 
18,LaLiga,11,11/11/12,A,RCD Mallorca,2:4,CF,43',0:2,Left-footed shot,Sergio Busquets
