,competition,Matchday,Date,Venue,Opponent,Result,Pos.,Minute,At score,Type of goal,Goal assist
0,LaLiga,3,9/27/20,H,Villarreal,4:0,CF,35',3:0,Penalty, 
1,Champions League,Group Stage,10/20/20,H,Ferencváros,5:1,CF,27',1:0,Penalty, 
2,Champions League,Group Stage,10/28/20,A,Juventus,0:2,CF,90'+1,0:2,Penalty, 
3,Champions League,Group Stage,11/4/20,H,Dynamo Kyiv,2:1,RW,5',1:0,Penalty, 
4,LaLiga,9,11/7/20,H,Real Betis,5:2,CF,61',3:1,Penalty, 
5,LaLiga,9,11/7/20,H,Real Betis,5:2,CF,82',4:2,Left-footed shot,Sergi Roberto
6,LaLiga,11,11/29/20,H,CA Osasuna,4:0,RW,73',4:0,Left-footed shot,Trincão
7,LaLiga,13,12/13/20,H,Levante,1:0,CF,76',1:0,Left-footed shot,Frenkie de Jong
8,LaLiga,14,12/19/20,H,Valencia,2:2,CF,45'+4,1:1,Header, 
9,LaLiga,15,12/22/20,A,Real Valladolid,0:3,RW,65',0:3,Left-footed shot,Pedri
10,LaLiga,2,1/6/21,A,Athletic,2:3,CF,38',1:2,Left-footed shot,Pedri
11,LaLiga,2,1/6/21,A,Athletic,2:3,CF,62',1:3,Left-footed shot,Antoine Griezmann
12,LaLiga,18,1/9/21,A,Granada CF,0:4,CF,35',0:2,Left-footed shot,Antoine Griezmann
13,LaLiga,18,1/9/21,A,Granada CF,0:4,CF,42',0:3,Direct free kick, 
14,Copa del Rey,Round of 16,1/27/21,A,Rayo Vallecano,1:2,CF,69',1:1,Left-footed shot,Antoine Griezmann
15,LaLiga,21,1/31/21,H,Athletic,2:1,CF,20',1:0,Direct free kick, 
16,LaLiga,22,2/7/21,A,Real Betis,2:3,CF,59',1:1,Left-footed shot,Ousmane Dembélé
17,LaLiga,23,2/13/21,H,Alavés,5:1,CF,45'+1,2:0,Left-footed shot,Sergio Busquets
18,LaLiga,23,2/13/21,H,Alavés,5:1,CF,75',4:1,Left-footed shot,Antoine Griezmann
19,Champions League,last 16,2/16/21,H,Paris SG,1:4,CF,27',1:0,Penalty, 
20,LaLiga,24,2/21/21,H,Cádiz CF,1:1,CF,32',1:0,Penalty, 
21,LaLiga,1,2/24/21,H,Elche CF,3:0,CF,48',1:0,Left-footed shot,Martin Braithwaite
22,LaLiga,1,2/24/21,H,Elche CF,3:0,CF,68',2:0,Left-footed shot,Frenkie de Jong
23,LaLiga,25,2/27/21,A,Sevilla FC,0:2,CF,85',0:2,Right-footed shot,Ilaix Moriba
24,Champions League,last 16,3/10/21,A,Paris SG,1:1,SS,37',1:1,Long distance kick,Pedri
25,LaLiga,27,3/15/21,H,SD Huesca,4:1,SS,13',1:0,Left-footed shot,Sergio Busquets
26,LaLiga,27,3/15/21,H,SD Huesca,4:1,SS,90',4:1,Left-footed shot,Trincão
27,LaLiga,28,3/21/21,A,Real Sociedad,1:6,SS,56',0:4,Left-footed shot,Sergio Busquets
28,LaLiga,28,3/21/21,A,Real Sociedad,1:6,SS,89',1:6,Left-footed shot,Jordi Alba
29,Copa del Rey,Final,4/17/21,A,Athletic,0:4,CF,68',0:3,Left-footed shot,Frenkie de Jong
30,Copa del Rey,Final,4/17/21,A,Athletic,0:4,CF,72',0:4,Left-footed shot,Jordi Alba
31,LaLiga,31,4/22/21,H,Getafe,5:2,CF,8',1:0,Left-footed shot,Sergio Busquets
32,LaLiga,31,4/22/21,H,Getafe,5:2,CF,33',3:1,Left-footed shot, 
33,LaLiga,33,4/29/21,H,Granada CF,1:2,CF,23',1:0,Left-footed shot,Antoine Griezmann
34,LaLiga,34,5/2/21,A,Valencia,2:3,CF,57',1:1,Left-footed shot, 
35,LaLiga,34,5/2/21,A,Valencia,2:3,CF,69',1:3,Direct free kick, 
36,LaLiga,36,5/11/21,A,Levante,3:3,CF,25',0:1,Left-footed shot, 
37,LaLiga,37,5/16/21,H,Celta de Vigo,1:2,CF,28',1:0,Header,Sergio Busquets
