,competition,Matchday,Date,Venue,Opponent,Result,Pos.,Minute,At score,Type of goal,Goal assist
0,Supercopa,final,8/23/09,H,Athletic,3:0,RW,50',1:0,Right-footed shot,Zlatan Ibrahimovic
1,Supercopa,final,8/23/09,H,Athletic,3:0,RW,68',2:0,Penalty, 
2,LaLiga,2,9/12/09,A,Getafe,0:2,RW,78',0:2,Header,Zlatan Ibrahimovic
3,LaLiga,3,9/19/09,H,Atlético Madrid,5:2,RW,15',2:0,Left-footed shot,Xavi
4,LaLiga,3,9/19/09,H,Atlético Madrid,5:2,RW,90'+3,5:2,Right-footed shot,Dani Alves
5,LaLiga,4,9/22/09,A,Racing,1:4,RW,23',0:2,Left-footed shot,Xavi
6,LaLiga,4,9/22/09,A,Racing,1:4,RW,63',0:4,Left-footed shot,Xavi
7,Champions League,Group Stage,9/29/09,H,Dynamo Kyiv,2:0,RW,25',1:0,Left-footed shot,Andrés Iniesta
8,LaLiga,8,10/25/09,H,Real Zaragoza,6:1,RW,80',5:1,Left-footed shot,Andrés Iniesta
9,LaLiga,10,11/7/09,H,RCD Mallorca,4:2,RW,86',4:1,Penalty, 
10,Copa del Rey,5th round,11/10/09,H,CyD Leonesa,5:0,RW,64',4:0,Left-footed shot,Pedro
11,LaLiga,13,12/5/09,A,Dep. La Coruña,1:3,RW,26',0:1,Left-footed shot,Dani Alves
12,LaLiga,13,12/5/09,A,Dep. La Coruña,1:3,RW,80',1:2,Header,Pedro
13,Champions League,Group Stage,12/9/09,A,Dynamo Kyiv,1:2,RW,86',1:2,Direct free kick, 
14,Club World Cup,Semi-Finals,12/16/09,A,Atlante,1:3,RW,55',1:2,Left-footed shot,Zlatan Ibrahimovic
15,Club World Cup,Final,12/19/09,A,Estudiantes,1:2  AET,RW,110',1:2,Chest,Dani Alves
16,LaLiga,17,1/10/10,A,CD Tenerife,0:5,RW,36',0:1,Left-footed shot,Bojan Krkic
17,LaLiga,17,1/10/10,A,CD Tenerife,0:5,RW,45',0:3,Right-footed shot,Bojan Krkic
18,LaLiga,17,1/10/10,A,CD Tenerife,0:5,RW,75',0:4,Left-footed shot,Bojan Krkic
19,LaLiga,18,1/16/10,H,Sevilla FC,4:0,RW,85',3:0,Left-footed shot,Dani Alves
20,LaLiga,18,1/16/10,H,Sevilla FC,4:0,RW,90'+1,4:0,Left-footed shot,Éric Abidal
21,LaLiga,19,1/23/10,A,Real Valladolid,0:3,RW,54',0:3,Left-footed shot,Zlatan Ibrahimovic
22,LaLiga,21,2/6/10,H,Getafe,2:1,RW,7',1:0,Left-footed shot,Yaya Touré
23,LaLiga,24,2/27/10,H,Málaga CF,2:1,RW,84',2:1,Right-footed shot,Dani Alves
24,LaLiga,25,3/6/10,A,UD Almería,2:2,RW,42',1:1,Direct free kick, 
25,LaLiga,25,3/6/10,A,UD Almería,2:2,RW,66',2:2,Left-footed shot, 
26,LaLiga,26,3/14/10,H,Valencia,3:0,CF,56',1:0,Left-footed shot,Xavi
27,LaLiga,26,3/14/10,H,Valencia,3:0,CF,80',2:0,Left-footed shot,Thierry Henry
28,LaLiga,26,3/14/10,H,Valencia,3:0,CF,82',3:0,Right-footed shot,Thierry Henry
29,Champions League,last 16,3/17/10,H,VfB Stuttgart,4:0,RW,13',1:0,Left-footed shot,Yaya Touré
30,Champions League,last 16,3/17/10,H,VfB Stuttgart,4:0,RW,56',3:0,Left-footed shot,Dani Alves
31,LaLiga,27,3/21/10,A,Real Zaragoza,2:4,RW,4',0:1,Header,Pedro
32,LaLiga,27,3/21/10,A,Real Zaragoza,2:4,RW,65',0:2,Left-footed shot, 
33,LaLiga,27,3/21/10,A,Real Zaragoza,2:4,RW,78',0:3,Left-footed shot,Andrés Iniesta
34,LaLiga,30,4/3/10,H,Athletic,4:1,CF,67',4:0,Left-footed shot,Pedro
35,Champions League,Quarter-Finals,4/6/10,H,Arsenal,4:1,RW,21',1:1,Left-footed shot, 
36,Champions League,Quarter-Finals,4/6/10,H,Arsenal,4:1,RW,37',2:1,Right-footed shot,Pedro
37,Champions League,Quarter-Finals,4/6/10,H,Arsenal,4:1,RW,42',3:1,Left-footed shot,Seydou Keita
38,Champions League,Quarter-Finals,4/6/10,H,Arsenal,4:1,RW,88',4:1,Left-footed shot,Xavi
39,LaLiga,31,4/10/10,A,Real Madrid,0:2,CF,32',0:1,Right-footed shot,Xavi
40,LaLiga,35,5/1/10,A,Villarreal,1:4,RW,18',0:1,Left-footed shot,Xavi
41,LaLiga,35,5/1/10,A,Villarreal,1:4,RW,87',1:4,Left-footed shot,Dani Alves
42,LaLiga,36,5/4/10,H,CD Tenerife,4:1,RW,16',1:0,Right-footed shot, 
43,LaLiga,36,5/4/10,H,CD Tenerife,4:1,RW,90'+3,4:1,Right-footed shot,Dani Alves
44,LaLiga,37,5/8/10,A,Sevilla FC,2:3,RW,5',0:1,Left-footed shot,Maxwell
45,LaLiga,38,5/16/10,H,Real Valladolid,4:0,RW,61',3:0,Right-footed shot,Yaya Touré
46,LaLiga,38,5/16/10,H,Real Valladolid,4:0,RW,74',4:0,Left-footed shot,Yaya Touré
