,competition,Matchday,Date,Venue,Opponent,Result,Pos.,Minute,At score,Type of goal,Goal assist
0,Champions League,Group Stage,9/19/07,H,Olympique Lyon,3:0,RW,82',2:0,Left-footed shot,Andrés Iniesta
1,LaLiga,4,9/22/07,H,Sevilla FC,2:1,RW,72',1:0,Left-footed shot,Thierry Henry
2,LaLiga,4,9/22/07,H,Sevilla FC,2:1,RW,79',2:0,Penalty, 
3,LaLiga,5,9/26/07,H,Real Zaragoza,4:1,RW,5',1:0,Left-footed shot,Thierry Henry
4,LaLiga,5,9/26/07,H,Real Zaragoza,4:1,RW,10',2:1,Left-footed shot,Deco
5,LaLiga,6,9/29/07,A,Levante,1:4,RW,50',0:4,Left-footed shot,Deco
6,Champions League,Group Stage,10/2/07,A,VfB Stuttgart,0:2,RW,66',0:2,Deflected shot on goal,Thierry Henry
7,LaLiga,7,10/7/07,H,Atlético Madrid,3:0,RW,19',2:0,Left-footed shot,Ronaldinho
8,LaLiga,9,10/28/07,H,UD Almería,2:0,RW,80',2:0,Penalty, 
9,Champions League,Group Stage,11/7/07,H,Rangers,2:0,RW,41',2:0,Left-footed shot,Ronaldinho
10,LaLiga,13,11/24/07,H,Recr. Huelva,3:0,RW,81',3:0,Penalty, 
11,Champions League,Group Stage,11/27/07,A,Olympique Lyon,2:2,RW,58',1:2,Penalty, 
12,Champions League,last 16,2/20/08,A,Celtic,2:3,RW,18',1:1,Left-footed shot,Deco
13,Champions League,last 16,2/20/08,A,Celtic,2:3,RW,79',2:3,Left-footed shot, 
14,LaLiga,25,2/24/08,H,Levante,5:1,RW,44',2:1,Left-footed shot,Xavi
15,LaLiga,35,5/4/08,H,Valencia,6:0,RW,5',1:0,Penalty, 
