,competition,Matchday,Date,Venue,Opponent,Result,Pos.,Minute,At score,Type of goal,Goal assist
23,Copa del Rey,last 16,1/8/15,H,Elche CF,5:0,RW,45',3:0,Penalty, 
24,LaLiga,18,1/11/15,H,Atlético Madrid,3:1,RW,87',3:1,Left-footed shot, 
25,LaLiga,19,1/18/15,A,Dep. La Coruña,0:4,RW,11',0:1,Header,Ivan Rakitic
26,LaLiga,19,1/18/15,A,Dep. La Coruña,0:4,RW,33',0:2,Left-footed shot,Luis Suárez
27,LaLiga,19,1/18/15,A,Dep. La Coruña,0:4,RW,62',0:3,Left-footed shot,Ivan Rakitic
28,Copa del Rey,Quarter-Finals,1/21/15,H,Atlético Madrid,1:0,RW,85',1:0,Penalty rebound, 
29,LaLiga,20,1/24/15,A,Elche CF,0:6,CF,55',0:2,Penalty, 
30,LaLiga,20,1/24/15,A,Elche CF,0:6,CF,88',0:5,Left-footed shot,Marc Bartra
31,LaLiga,21,2/1/15,H,Villarreal,3:2,RW,55',3:2,Right-footed shot,Luis Suárez
32,LaLiga,22,2/8/15,A,Athletic,2:5,RW,15',0:1,Direct free kick, 
33,Copa del Rey,Semi-Finals,2/11/15,H,Villarreal,3:1,RW,41',1:0,Left-footed shot,Luis Suárez
34,LaLiga,23,2/15/15,H,Levante,5:0,CF,38',2:0,Right-footed shot,Marc Bartra
35,LaLiga,23,2/15/15,H,Levante,5:0,CF,59',3:0,Right-footed shot,Pedro
36,LaLiga,23,2/15/15,H,Levante,5:0,CF,65',4:0,Penalty, 
37,LaLiga,25,2/28/15,A,Granada CF,1:3,RW,70',1:3,Right-footed shot,Luis Suárez
38,LaLiga,26,3/8/15,H,Rayo Vallecano,6:1,RW,56',3:0,Penalty, 
39,LaLiga,26,3/8/15,H,Rayo Vallecano,6:1,RW,63',4:0,Tap-in, 
40,LaLiga,26,3/8/15,H,Rayo Vallecano,6:1,RW,68',5:0,Left-footed shot,Pedro
41,LaLiga,27,3/14/15,A,SD Eibar,0:2,RW,31',0:1,Penalty, 
42,LaLiga,27,3/14/15,A,SD Eibar,0:2,RW,55',0:2,Header,Ivan Rakitic
43,LaLiga,30,4/8/15,H,UD Almería,4:0,RW,33',1:0,Left-footed shot,Marc Bartra
44,LaLiga,31,4/11/15,A,Sevilla FC,2:2,RW,15',0:1,Left-footed shot,Neymar
45,LaLiga,32,4/18/15,H,Valencia,2:0,RW,90'+4,2:0,Left-footed shot, 
46,LaLiga,33,4/25/15,A,Espanyol,0:2,RW,25',0:2,Left-footed shot,Luis Suárez
47,LaLiga,34,4/28/15,H,Getafe,6:0,RW,9',1:0,Penalty, 
48,LaLiga,34,4/28/15,H,Getafe,6:0,RW,47',6:0,Left-footed shot,Luis Suárez
49,LaLiga,35,5/2/15,A,Córdoba CF,0:8,RW,47',0:3,Header,Dani Alves
50,LaLiga,35,5/2/15,A,Córdoba CF,0:8,RW,80',0:6,Left-footed shot,Luis Suárez
51,Champions League,Semi-Finals,5/6/15,H,Bayern Munich,3:0,RW,77',1:0,Left-footed shot,Dani Alves
52,Champions League,Semi-Finals,5/6/15,H,Bayern Munich,3:0,RW,80',2:0,Right-footed shot,Ivan Rakitic
53,LaLiga,37,5/17/15,A,Atlético Madrid,0:1,RW,65',0:1,Left-footed shot,Pedro
54,LaLiga,38,5/23/15,H,Dep. La Coruña,2:2,RW,5',1:0,Header,Rafinha
55,LaLiga,38,5/23/15,H,Dep. La Coruña,2:2,RW,59',2:0,Right-footed shot,Neymar
56,Copa del Rey,Final,5/30/15,A,Athletic,1:3,RW,20',0:1,Solo run, 
57,Copa del Rey,Final,5/30/15,A,Athletic,1:3,RW,74',0:3,Left-footed shot,Dani Alves
